College Name,District,Address,Courses,Fees (INR),Contact No,Email Address
Mar Gregorios College,Thiruvananthapuram,Pattom,BSc Computer Science; BCom; MSc Physics,30000,0471-2551234,mgc@example.edu.in
MES College,Ernakulam,Marampally,BBA; BSc Electronics; MCA,40000,0485-2271234,mes@example.edu.in
St. Joseph's College,Kozhikode,Devagiri,BSc Mathematics; BA English; MSc Chemistry,35000,0495-2352345,sjc@example.edu.in
Toc H Institute of Science & Technology,Alappuzha,Arakkunnam,BTech CSE; ECE; ME,60000,0477-1234567,toch@example.edu.in
NSS College,Pathanamthitta,Pandalam,BA Economics; BSc Physics; MSc Zoology,32000,0468-2324567,nss@example.edu.in
Sree Sankara College,Ernakulam,Kalady,BA History; BSc Botany; MA English,25000,0484-2461234,sreesankara@example.edu.in
Union Christian College,Aluva,Aluva,BCom; BSc Physics; MSc Zoology,30000,0484-2345678,ucc@example.edu.in
Christ College,Thrissur,Irinjalakuda,BSc Chemistry; BA Malayalam; MSc Mathematics,28000,0480-2789123,christthrissur@example.edu.in
Sacred Heart College,Thevara,Thevara,BBA; BCA; MSc Computer Science,32000,0484-2667890,shcollege@example.edu.in
Maharaja's College,Ernakulam,MG Road,BA Economics; MA History; MSc Physics,29000,0484-2367890,maharajas@example.edu.in
Government College Kattappana,Idukki,Kattappana,BA English; BSc Zoology,27000,0486-8223344,gcckattappana@example.edu.in
St. Thomas College,Thrissur,Thrissur Town,BCom; BSc Statistics; MSc Botany,31000,0487-2334567,stthomas@example.edu.in
Fatima Mata National College,Kollam,Kollam Beach Road,BSc Mathematics; BCA; MSc Chemistry,33000,0474-2765432,fatimamata@example.edu.in
CMS College,Kottayam,CMS Junction,BA English; BSc Botany; MA History,30000,0481-2567890,cmscollege@example.edu.in
Farook College,Kozhikode,Farook College PO,BSc Computer Science; BA Economics; MSc Chemistry,35000,0495-2445566,farook@example.edu.in
Providence Women's College,Kozhikode,Puthiyara,BSc Physics; BA English; MA Malayalam,27000,0495-2703456,providence@example.edu.in
Don Bosco College,Kottiyam,Kottiyam,BBA; BA Economics; MSc Electronics,31000,0474-2536789,donbosco@example.edu.in
St. Berchmans College,Changanassery,Changanassery,BA Malayalam; BSc Chemistry; MSc Physics,29000,0481-2423456,stberchmans@example.edu.in
Government Victoria College,Palakkad,Palakkad Town,BA English; BCom; MA Economics,28000,0491-2501234,victoriacollege@example.edu.in
Government Brennen College,Thalassery,Dharmadam,BA History; BSc Mathematics; MA Political Science,26000,0490-2345678,brennen@example.edu.in
Vimala College,Thrissur,Thrissur,BSc Physics; BA Sociology; MSc Zoology,30000,0487-2426789,vimalacollege@example.edu.in
Mar Athanasius College,Kothamangalam,Kothamangalam,BSc Mathematics; BCom; MSc Physics,32000,0485-2823456,marathanasius@example.edu.in
TKM College of Engineering,Kollam,Kollam,BTech Civil; EEE; CSE,65000,0474-2711234,tkmce@example.edu.in
College of Engineering Trivandrum,Thiruvananthapuram,Sreekariyam,BTech ECE; CSE; IT,70000,0471-2598123,cet@example.edu.in
Government Engineering College Thrissur,Thrissur,Ramanilayam,BTech ME; CE; EEE,68000,0487-2331234,gect@example.edu.in
St. Xavier's College,Thiruvananthapuram,Thumba,BSc Chemistry; BCom; MSc Botany,28000,0471-2501234,stxaviers@example.edu.in
Marthoma College,Pathanamthitta,Tiruvalla,BA History; BSc Mathematics; MSc Zoology,27000,0469-2623456,marthoma@example.edu.in
Sree Narayana College,Kannur,Payyannur,BBA; BCA; MSc Electronics,31000,0497-2801234,sncollege@example.edu.in
Bishop Moore College,Alappuzha,Mavelikkara,BSc Physics; BCom; MA Malayalam,29000,0479-2345678,bishopmoore@example.edu.in
St. Albert's College,Ernakulam,Banerji Road,BSc Zoology; BA English; MSc Computer Science,33000,0484-2391234,stalberts@example.edu.in
Morning Star College,Ernakulam,Angamaly,BCA; BCom; MSc Mathematics,30000,0484-2456789,morningstar@example.edu.in
Baselius College,Kottayam,Kottayam Town,BA Economics; BSc Physics; MSc Chemistry,32000,0481-2589123,baselius@example.edu.in
Rajagiri College of Social Sciences,Ernakulam,Kakkanad,BBA; MSW; MHRM,35000,0484-2661234,rajagiri@example.edu.in
Loyola College of Social Sciences,Thiruvananthapuram,Sreekariyam,MSW; MA Sociology; MSc Psychology,34000,0471-2596789,loyolacollege@example.edu.in
St. Michael's College,Alappuzha,Cherthala,BCom; BSc Mathematics; MSc Zoology,30000,0478-2812345,stmichaels@example.edu.in
MES Asmabi College,Thrissur,Kodungallur,BBA; BCA; BA History,31000,0480-2803456,mesasmabi@example.edu.in
HBT College,Kollam,Kollam City,BSc Physics; BCom; MA History,27000,0474-2767890,hbtcollege@example.edu.in
Pavanatma College,Idukki,Murickassery,BA Malayalam; BSc Chemistry; MSc Botany,29000,0486-8234567,pavanatma@example.edu.in
Devaswom Board College,Kottayam,Thalayolaparambu,BSc Zoology; BCom; MSc Physics,28000,04829-266789,dbcollege@example.edu.in
SNM College,Ernakulam,Maliankara,BBA; BA English; MSc Mathematics,31000,0484-2476789,snmcollege@example.edu.in
Panampilly Memorial College,Thrissur,Chalakkudy,BA History; BSc Physics; MSc Chemistry,30000,0480-2701234,pmcollege@example.edu.in
Kuriakose Elias College,Kottayam,Mannanam,BSc Computer Science; BCom; MSc Physics,32000,0481-2534567,kecmannanam@example.edu.in
BPC College,Ernakulam,Piravom,BBA; BCom; MSc Psychology,33000,0485-2245678,bpccollege@example.edu.in
Nirmala College,Ernakulam,Muvattupuzha,BSc Physics; BA Economics; MSc Chemistry,31000,0485-2267890,nirmalacollege@example.edu.in
